p(the | <s>) = 0.04022112085398399
p(go | to) = 0.003093363329583802
p(into | go) = 0.00641025641025641
p(harness | into) = 0.005771248688352571
p(then | harness) = 0.006485849056603773
p(see | i) = 0.0030170049369171695
p(it | see) = 0.006159014557670772
p(deduce | i) = 0.0030170049369171695
p(it | deduce) = 0.006485849056603773
p(we | besides) = 0.006447831184056271
p(prompt | be) = 0.005198487712665407
p(for | prompt) = 0.006447831184056271
p(this | for) = 0.005350194552529183
p(marriage | this) = 0.005566801619433198
p(may | marriage) = 0.00641025641025641
p(mean | may) = 0.00580168776371308
p(a | mean) = 0.006447831184056271
p(complete | a) = 0.003155479059093517
p(change | complete) = 0.006447831184056271
p(in | change) = 0.006485849056603773
p(life | her) = 0.005376344086021505
p(and | life) = 0.012166859791425259
p(habits | and) = 0.002984264785675529
p(</s> | habits) = 0.006447831184056271
p(the | have) = 0.005032021957913998
p(wish | to) = 0.003093363329583802
p(you | wish) = 0.006373117033603708
p(a | you) = 0.004110612855007474
p(good | very) = 0.00580168776371308
p(morning | good) = 0.00605726872246696
p(he | morning) = 0.0063364055299539165
p(bowed | he) = 0.004407051282051282
p(and | bowed) = 0.006485849056603773
p(turning | and) = 0.002984264785675529
p(away | turning) = 0.006485849056603773
p(without | away) = 0.0063364055299539165
p(observing | without) = 0.006159014557670772
p(the | observing) = 0.006447831184056271
p(hand | the) = 0.002133436772692009
p(which | hand) = 0.006300114547537227
p(the | which) = 0.005149812734082397
p(had | king) = 0.006024096385542168
p(stretched | had) = 0.005009107468123861
p(to | out) = 0.005832449628844114
p(he | him) = 0.005741127348643006
p(set | he) = 0.004407051282051282
p(off | set) = 0.006485849056603773
p(in | off) = 0.006447831184056271
p(company | my) = 0.004790940766550522
p(for | company) = 0.006447831184056271
p(his | for) = 0.005350194552529183
p(chambers | his) = 0.004424778761061947
p(</s> | chambers) = 0.006447831184056271
p(listened | had) = 0.005009107468123861
p(to | listened) = 0.006485849056603773
p(all | to) = 0.003093363329583802
p(they | all) = 0.005741127348643006
p(tell | to) = 0.003093363329583802
p(i | tell) = 0.006228765571913929
p(walk | to) = 0.003093363329583802
p(up | walk) = 0.006447831184056271
p(near | down) = 0.0058949624866023575
p(briony | near) = 0.006447831184056271
p(once | lodge) = 0.006193693693693694
p(over | think) = 0.006264236902050114
p(my | over) = 0.006193693693693694
p(plan | my) = 0.004790940766550522
p(of | plan) = 0.006447831184056271
p(campaign | of) = 0.003102086858432036
p(</s> | campaign) = 0.006485849056603773
p(rose | i) = 0.0030170049369171695
p(and | rose) = 0.006485849056603773
p(making | and) = 0.002984264785675529
p(my | making) = 0.006485849056603773
p(excuses | my) = 0.004790940766550522
p(escaped | excuses) = 0.006485849056603773
p(from | escaped) = 0.006485849056603773
p(rang | i) = 0.0030170049369171695
p(the | rang) = 0.006485849056603773
p(and | bell) = 0.0063364055299539165
p(shown | was) = 0.004110612855007474
p(up | shown) = 0.00641025641025641
p(chamber | the) = 0.002133436772692009
p(which | chamber) = 0.006447831184056271
p(formerly | had) = 0.005009107468123861
p(been | formerly) = 0.006485849056603773
p(in | been) = 0.005652620760534429
p(part | in) = 0.0037722908093278463
p(my | part) = 0.006228765571913929
p(simplicity | is) = 0.004610226320201173
p(itself | simplicity) = 0.006485849056603773
p(said | itself) = 0.006447831184056271
p(my | he) = 0.004407051282051282
p(tell | eyes) = 0.006228765571913929
p(on | that) = 0.004270186335403727
p(inside | the) = 0.002133436772692009
p(of | inside) = 0.006485849056603773
p(your | of) = 0.003102086858432036
p(left | your) = 0.005511022044088176
p(shoe | left) = 0.006264236902050114
p(just | shoe) = 0.006485849056603773
p(where | just) = 0.006124721603563474
p(the | where) = 0.006264236902050114
p(firelight | the) = 0.002133436772692009
p(strikes | firelight) = 0.006485849056603773
p(it | strikes) = 0.006485849056603773
p(leather | the) = 0.002133436772692009
p(is | leather) = 0.006447831184056271
p(scored | is) = 0.004610226320201173
p(by | scored) = 0.006485849056603773
p(six | by) = 0.005681818181818182
p(almost | six) = 0.006373117033603708
p(parallel | almost) = 0.006447831184056271
p(cuts | parallel) = 0.006485849056603773
p(</s> | cuts) = 0.006485849056603773
p(know | may) = 0.00580168776371308
p(the | know) = 0.006024096385542168
p(strict | the) = 0.002133436772692009
p(principles | strict) = 0.006485849056603773
p(of | principles) = 0.006485849056603773
p(family | her) = 0.005376344086021505
p(</s> | family) = 0.006447831184056271
p(our | <s>) = 0.0020968356843309188
p(visitor | our) = 0.006124721603563474
p(glanced | visitor) = 0.0063364055299539165
p(with | glanced) = 0.006447831184056271
p(some | with) = 0.004986400725294651
p(apparent | some) = 0.006090808416389811
p(surprise | apparent) = 0.006485849056603773
p(at | surprise) = 0.006447831184056271
p(languid | the) = 0.002133436772692009
p(lounging | languid) = 0.006485849056603773
p(figure | lounging) = 0.006447831184056271
p(of | figure) = 0.00641025641025641
p(depicted | doubt) = 0.006373117033603708
p(to | depicted) = 0.006485849056603773
p(as | him) = 0.005741127348643006
p(incisive | most) = 0.006264236902050114
p(reasoner | incisive) = 0.006485849056603773
p(and | reasoner) = 0.006447831184056271
p(most | and) = 0.002984264785675529
p(energetic | most) = 0.006264236902050114
p(agent | energetic) = 0.006447831184056271
p(in | agent) = 0.006373117033603708
p(europe | in) = 0.0037722908093278463
p(</s> | europe) = 0.006447831184056271
p(left | be) = 0.005198487712665407
p(till | left) = 0.006264236902050114
p(called | till) = 0.006485849056603773
p(for | called) = 0.006447831184056271
p(my | for) = 0.005350194552529183
p(tore | friend) = 0.006264236902050114
p(it | tore) = 0.00641025641025641
p(open | it) = 0.0037593984962406017
p(all | we) = 0.005595116988809766
p(together | it) = 0.0037593984962406017
p(august | the) = 0.002133436772692009
p(person | august) = 0.006485849056603773
p(who | person) = 0.006373117033603708
p(employs | who) = 0.005711318795430945
p(me | employs) = 0.006485849056603773
p(wishes | me) = 0.005456349206349206
p(his | wishes) = 0.006485849056603773
p(agent | his) = 0.004424778761061947
p(to | agent) = 0.006373117033603708
p(unknown | be) = 0.005198487712665407
p(to | unknown) = 0.006485849056603773
p(confess | may) = 0.00580168776371308
p(at | confess) = 0.006485849056603773
p(that | once) = 0.006300114547537227
p(title | the) = 0.002133436772692009
p(by | title) = 0.006447831184056271
p(which | by) = 0.005681818181818182
p(just | have) = 0.005032021957913998
p(called | just) = 0.006124721603563474
p(myself | called) = 0.006447831184056271
p(is | myself) = 0.006193693693693694
p(exactly | not) = 0.00510204081632653
p(my | exactly) = 0.006485849056603773
p(i | own) = 0.005958829902491874
p(dryly | holmes) = 0.005350194552529183
p(</s> | dryly) = 0.006485849056603773
p(chubb | <s>) = 0.0020968356843309188
p(lock | chubb) = 0.006485849056603773
p(to | lock) = 0.006485849056603773
p(preposterous | most) = 0.006264236902050114
p(position | preposterous) = 0.006447831184056271
p(in | position) = 0.006447831184056271
p(which | in) = 0.0037722908093278463
p(ever | i) = 0.0030170049369171695
p(found | ever) = 0.006447831184056271
p(myself | found) = 0.006228765571913929
p(it | and) = 0.0056972327726532825
p(thought | the) = 0.002133436772692009
p(of | thought) = 0.00641025641025641
p(that | it) = 0.0037593984962406017
p(started | that) = 0.004270186335403727
p(me | started) = 0.006447831184056271
p(laughing | me) = 0.005456349206349206
p(just | laughing) = 0.00641025641025641
p(now | just) = 0.006124721603563474
p(all | <s>) = 0.004003049942813572
p(is | all) = 0.005741127348643006
p(lost | is) = 0.004610226320201173
p(we | lost) = 0.006447831184056271
p(see | shall) = 0.006228765571913929
p(he | see) = 0.006159014557670772
p(pushed | he) = 0.004407051282051282
p(past | pushed) = 0.006447831184056271
p(servant | the) = 0.002133436772692009
p(and | servant) = 0.00641025641025641
p(rushed | and) = 0.002984264785675529
p(drawing | the) = 0.002133436772692009
p(room | drawing) = 0.006447831184056271
p(followed | room) = 0.005958829902491874
p(and | king) = 0.006024096385542168
p(myself | and) = 0.002984264785675529
p(itself | note) = 0.006228765571913929
p(</s> | itself) = 0.006447831184056271
p(precisely | clock) = 0.0063364055299539165
p(i | precisely) = 0.006447831184056271
p(at | was) = 0.007847533632286996
p(but | street) = 0.005991285403050109
p(holmes | but) = 0.0052231718898385565
p(yet | not) = 0.00510204081632653
p(returned | yet) = 0.006124721603563474
p(</s> | returned) = 0.006447831184056271
p(now | is) = 0.004610226320201173
p(as | now) = 0.006024096385542168
p(safe | as) = 0.005198487712665407
p(as | safe) = 0.006485849056603773
p(were | it) = 0.0037593984962406017
p(glad | am) = 0.005991285403050109
p(to | glad) = 0.006447831184056271
p(hear | to) = 0.003093363329583802
p(your | hear) = 0.006447831184056271
p(say | majesty) = 0.005991285403050109
p(so | say) = 0.0063364055299539165
p(immensely | am) = 0.005991285403050109
p(indebted | immensely) = 0.006485849056603773
p(to | indebted) = 0.006485849056603773
p(i | should) = 0.006090808416389811
p(attempt | i) = 0.0030170049369171695
p(to | attempt) = 0.006485849056603773
p(conceal | to) = 0.003093363329583802
p(it | conceal) = 0.006485849056603773
p(why | it) = 0.0037593984962406017
p(indeed | why) = 0.006300114547537227
p(murmured | indeed) = 0.006159014557670772
p(hundred | a) = 0.003155479059093517
p(and | hundred) = 0.00641025641025641
p(fifty | and) = 0.002984264785675529
p(guineas | fifty) = 0.006485849056603773
p(apiece | guineas) = 0.006485849056603773
p(</s> | apiece) = 0.006485849056603773
p(bought | be) = 0.005198487712665407
p(she | bought) = 0.006447831184056271
p(sell | not) = 0.00510204081632653
p(stolen | sell) = 0.006485849056603773
p(then | stolen) = 0.006447831184056271
p(five | then) = 0.005595116988809766
p(attempts | five) = 0.006300114547537227
p(have | attempts) = 0.006447831184056271
p(was | how) = 0.005958829902491874
p(a | there) = 0.005566801619433198
p(secret | a) = 0.003155479059093517
p(marriage | secret) = 0.006485849056603773
p(none | marriage) = 0.00641025641025641
p(no | none) = 0.006300114547537227
p(legal | no) = 0.00605726872246696
p(papers | legal) = 0.006485849056603773
p(or | papers) = 0.006485849056603773
p(certificates | or) = 0.0058949624866023575
p(none | certificates) = 0.006485849056603773
p(then | none) = 0.006300114547537227
p(follow | to) = 0.003093363329583802
p(your | follow) = 0.006447831184056271
p(a | i) = 0.0030170049369171695
p(scandal | a) = 0.003155479059093517
p(in | scandal) = 0.00641025641025641
p(sherlock | to) = 0.003093363329583802
p(she | holmes) = 0.005350194552529183
p(_the_ | always) = 0.00641025641025641
p(marriage | my) = 0.004790940766550522
p(had | marriage) = 0.00641025641025641
p(drifted | had) = 0.005009107468123861
p(us | drifted) = 0.006485849056603773
p(away | us) = 0.006264236902050114
p(each | from) = 0.005376344086021505
p(other | each) = 0.006485849056603773
p(</s> | other) = 0.006264236902050114
p(work | at) = 0.005149812734082397
p(again | work) = 0.006373117033603708
p(</s> | again) = 0.006373117033603708
p(emotions | all) = 0.005741127348643006
p(and | emotions) = 0.006485849056603773
p(one | that) = 0.004270186335403727
p(particularly | one) = 0.00580168776371308
p(were | particularly) = 0.006447831184056271
p(abhorrent | were) = 0.005771248688352571
p(to | abhorrent) = 0.006485849056603773
p(cold | his) = 0.004424778761061947
p(precise | cold) = 0.006447831184056271
p(but | precise) = 0.006485849056603773
p(admirably | but) = 0.0052231718898385565
p(balanced | admirably) = 0.006447831184056271
p(mind | balanced) = 0.006485849056603773
p(</s> | mind) = 0.006373117033603708
p(of | you) = 0.004110612855007474
p(saw | course) = 0.006373117033603708
p(that | saw) = 0.006300114547537227
p(everyone | that) = 0.004270186335403727
p(in | everyone) = 0.006485849056603773
p(was | street) = 0.005991285403050109
p(an | was) = 0.004110612855007474
p(accomplice | an) = 0.005741127348643006
p(</s> | accomplice) = 0.006485849056603773
p(hardened | i) = 0.0030170049369171695
p(my | hardened) = 0.006485849056603773
p(heart | my) = 0.004790940766550522
p(and | heart) = 0.006485849056603773
p(took | and) = 0.002984264785675529
p(the | took) = 0.006300114547537227
p(smoke | the) = 0.002133436772692009
p(from | rocket) = 0.006373117033603708
p(my | under) = 0.0063364055299539165
p(ulster | my) = 0.004790940766550522
p(</s> | ulster) = 0.006447831184056271
p(must | you) = 0.004110612855007474
p(not | must) = 0.00605726872246696
p(interfere | not) = 0.00510204081632653
p(come | interfere) = 0.006447831184056271
p(may | what) = 0.005711318795430945
p(</s> | may) = 0.00580168776371308
p(said | monica) = 0.006447831184056271
p(it | minutes) = 0.006193693693693694
p(twenty | was) = 0.004110612855007474
p(five | twenty) = 0.00641025641025641
p(to | minutes) = 0.011824324324324323
p(twelve | to) = 0.003093363329583802
p(and | twelve) = 0.006485849056603773
p(of | and) = 0.002984264785675529
p(it | course) = 0.006373117033603708
p(enough | clear) = 0.006300114547537227
p(what | enough) = 0.006373117033603708
p(wind | the) = 0.002133436772692009
p(</s> | wind) = 0.006485849056603773
p(serious | very) = 0.00580168776371308
p(one | serious) = 0.006485849056603773
p(returned | me) = 0.005456349206349206
p(the | returned) = 0.006447831184056271
p(reproachfully | king) = 0.006024096385542168
p(</s> | reproachfully) = 0.006485849056603773
p(too | <s>) = 0.0020968356843309188
p(large | too) = 0.006264236902050114
p(for | large) = 0.006447831184056271
p(easy | for) = 0.005350194552529183
p(concealment | easy) = 0.006485849056603773
p(about | concealment) = 0.006485849056603773
p(a | about) = 0.006264236902050114
p(dress | s) = 0.005926724137931034
p(</s> | dress) = 0.006447831184056271
p(living | <s>) = 0.0020968356843309188
p(in | living) = 0.006485849056603773
p(quite | london) = 0.00641025641025641
p(money | s) = 0.005926724137931034
p(in | money) = 0.006447831184056271
p(watson | case) = 0.006228765571913929
p(if | watson) = 0.006300114547537227
p(there | if) = 0.005771248688352571
p(else | nothing) = 0.006300114547537227
p(i | else) = 0.00641025641025641
p(that | think) = 0.006264236902050114
p(better | had) = 0.005009107468123861
p(go | better) = 0.0063364055299539165
p(holmes | go) = 0.00641025641025641
p(not | holmes) = 0.005350194552529183
p(bit | a) = 0.003155479059093517
p(doctor | bit) = 0.006485849056603773
p(</s> | doctor) = 0.0063364055299539165
p(this | and) = 0.002984264785675529
p(promises | this) = 0.005566801619433198
p(to | promises) = 0.006485849056603773
p(interesting | be) = 0.005198487712665407
p(</s> | interesting) = 0.006485849056603773
p(past | quarter) = 0.006447831184056271
p(six | past) = 0.00641025641025641
p(when | six) = 0.006373117033603708
p(left | we) = 0.005595116988809766
p(baker | left) = 0.006264236902050114
p(still | it) = 0.0037593984962406017
p(wanted | still) = 0.006264236902050114
p(ten | wanted) = 0.00641025641025641
p(hour | the) = 0.002133436772692009
p(when | hour) = 0.00641025641025641
p(found | we) = 0.005595116988809766
p(ourselves | found) = 0.006228765571913929
p(in | ourselves) = 0.006485849056603773
